Lieferant für,SAP Lieferantennummer,SAP Name,Adresse / Anschrift,Telefonnummer (+ davor),Email,Link,Bemerkung
Verpackung-Karton,1000027,Sebastian Meusch,Sebastian Meusch Carl-Backhaus-Str. 38 22926 Ahrensburg Deutschland,49 (0)4102 - 66 88 655,info@versandkarton-shop.de,https://www.versandkarton-shop.de/items/detail.php?anr=530_CP-164.453814,
Verpackung-Füllmaterial,1000032,IPS Karton,IPS Karton.eu GmbH & Co. KG Tuchmacherallee 6 03130 Spremberg Deutschland,49 3563 / 348030,anfrage@karton.eu,https://www.karton.eu/400-Bio-Air-Cushions-25-l,
Motorschrauben,1000028,Bossard,Bossard Holding AG Steinhauserstrasse 70 CH-6301 Zug,41 41 749 66 11,bossard@bossard.com,https://www.bossard.com/eshop/de-de/,"SHC AOS Entrequadras 2/8 lote 5, Octogonal - Sul, Brasília - DF, 70660-900, Brazil"
Motormuttern,1000025,RCTech,An der Trave 17 23795 Bad Segeberg Germany,04551 / 8061830,mail@rctech.de,https://www.rctech.de/iflight-xing-e-2207-1700-1800-2450-2750-kv-motor.html?gclid=CjwKCAiAq4KuBhA6EiwArMAw1K7YlKdlEOf_XXaCDE3NxHzhGrc8VlbJH3T-JaRftdxt9Y2u0ZLUTRoCpdMQAvD_BwE#208=2349,
Haube EVO2 weiss,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,"Alter Lieferant der Füße: 633 Frances Ave #2, Victoria, BC V8Z 1A2, Canada wurde damals in Schnee gebieselt"
HAUBE EVO2 gelb,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
HAUBE EVO2 rot,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
HAUBE EVO2 grün,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
HAUBE EVO2 blau,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
HAUBE EVO2 braun,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
HAUBE EVO2 orange,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
HAUBE EVO2 schwarz,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Spartan weiss,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Spartan gelb,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Spartan rot,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Spartan grün,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Spartan blau,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Spartan braun,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Spartan orange,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Spartan schwarz,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Lightweight weiss,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Lightweight gelb,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Lightweight rot,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Lightweight grün,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Lightweight blau,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Lightweight braun,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Lightweight orange,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Lightweight schwarz,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Balance weiss,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Balance gelb,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Balance rot,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Balance grün,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Balance blau,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Balance braun,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Balance orange,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Fuß EVO2 Balance schwarz,1000033,Formicore,Formicore GmbH Bleiche 5 89143 Blaubeuren,49 7344 92 32 888,info@formicore.de,https://www.formicore.de/,
Acryl Glasplatte - weiß,1000021,Plattenzuschnitt24,"Via Honduras, 6, 00071 Pomezia RM, Italy",41417876030,info@plattenzuschnitt24.de,https://www.plattenzuschnitt24.de/Acrylglas-GS-5mm-weiss-Opal-030.html,
Acryl Glasplatte - blau,1000021,Plattenzuschnitt24,"Via Honduras, 6, 00071 Pomezia RM, Italy",49 (0) 203 8048 1448,info@kunststoffplattenonline.de,https://kunststoffplattenonline.de/product/acrylglas-platten-getoent-blau-5-mm/,
Acryl Glasplatte - schwarz,1000021,Plattenzuschnitt24,"Via Honduras, 6, 00071 Pomezia RM, Italy",41417876030,info@plattenzuschnitt24.de,https://www.plattenzuschnitt24.de/Acrylglas-XT-5mm-schwarz.html,
Lötzinn,1000022,Amazon,Amazon EU S.à r.l. Niederlassung Deutschland Marcel-Breuer-Str. 12 80807 München Deutschland,0800 3638469,impressum@amazon.de,https://www.amazon.de/Vegena-Bleifreies-Kolophonium-Flussmittel-Durchmesser/dp/B07PPN46RF/ref=sr_1_1?crid=1078K5N6WZYNO&keywords=l%C3%B6tzinn%2B1mm&qid=1707228691&sprefix=l%C3%B6tzinn%2B1mm%2Caps%2C166&sr=8-1&th=1,
PLA Filament - Weiß,1000020,Prusa3D,Prusa Research a.s. Partyzánská 188/7a 170 00 Prag 7 - Holešovice Tschechische Republik,420 222 263 718,info@prusa3d.com,https://www.prusa3d.com/de/produkt/prusament-pla-jet-black-1kg/,
PLA Filament - Gelb,1000020,Prusa3D,Robin Buck Filamentworld Pfaffenweg 35 89231 Neu-Ulm Deutschland,0731 49250265,info@filamentworld.de,https://filamentworld.de/shop/filament-3d-drucker/gelb,
PLA Filament - Rot,1000020,Prusa3D,Prusa Research a.s. Partyzánská 188/7a 170 00 Prag 7 - Holešovice Tschechische Republik,420 222 263 718,info@prusa3d.com,https://www.prusa3d.com/de/produkt/prusament-pla-lipstick-red-1kg/,
PLA Filament - Grün,1000020,Prusa3D,Prusa Research a.s. Partyzánská 188/7a 170 00 Prag 7 - Holešovice Tschechische Republik,420 222 263 718,info@prusa3d.com,https://www.prusa3d.com/de/produkt/prusament-pla-simply-green-1kg/,
PLA Filament - Blau,1000020,Prusa3D,Robin Buck Filamentworld Pfaffenweg 35 89231 Neu-Ulm Deutschland,0731 49250265,info@filamentworld.de,https://filamentworld.de/shop/filament-3d-drucker/hellblau/,
PLA Filament - Braun,1000020,Prusa3D,Robin Buck Filamentworld Pfaffenweg 35 89231 Neu-Ulm Deutschland,0731 49250265,info@filamentworld.de,https://filamentworld.de/shop/filament-3d-drucker/pla-filament-1-75-mm-braun/,
PLA Filament - Orange,1000020,Prusa3D,Prusa Research a.s. Partyzánská 188/7a 170 00 Prag 7 - Holešovice Tschechische Republik,420 222 263 718,info@prusa3d.com,https://www.prusa3d.com/de/produkt/prusament-pla-prusa-orange-1kg/,
PLA Filament - Schwarz,1000020,Prusa3D,Prusa Research a.s. Partyzánská 188/7a 170 00 Prag 7 - Holešovice Tschechische Republik,420 222 263 718,info@prusa3d.com,https://www.prusa3d.com/de/produkt/prusament-pla-jet-black-1kg/,
